imagem,limiar_T,detectados,anotados,vp,fp,fn,erro_contagem
captura_2023-10-02_15-28-57_png.rf.8519d84e5507bfa5e6b94ccd864a5f0e.jpg,86.0,1,1,0,1,1,0
captura_2023-10-05_17-51-40_png.rf.96385a49ef1381bb26dac4b3d6882a05.jpg,87.0,1,1,0,1,1,0
captura_2023-09-28_16-08-32_png.rf.d5a9002fd37ae44ff0a4ee44b03518ac.jpg,78.0,0,1,0,0,1,-1
captura_2023-10-05_17-42-21_png.rf.a0ab88d921c6749d81b15ea380f99348.jpg,95.0,0,1,0,0,1,-1
captura_2023-10-11_16-28-49_png.rf.c980c79c77d962a437d732bf1e66bbd8.jpg,92.0,1,1,1,0,0,0
captura_2023-10-11_16-31-11_png.rf.b9259e2f1b8ff6603116245584ad4006.jpg,78.0,1,1,0,1,1,0
captura_2023-10-05_15-19-03_png.rf.33a976084d164ccdbe7e5c4b3067250f.jpg,82.0,0,1,0,0,1,-1
captura_2023-10-10_17-44-39_png.rf.3e7ffa211f43294a97812797bb8ff173.jpg,82.0,4,1,1,3,0,3
captura_2023-10-05_16-13-33_png.rf.116af4c9a21f1be791590509fa02635e.jpg,72.0,3,1,1,2,0,2
captura_2023-10-02_15-35-02_png.rf.19bec3c79fc70ee397f2e654536db1db.jpg,55.0,1,1,0,1,1,0
captura_2023-10-05_16-11-26_png.rf.4fd21d709662f9f573102f63c44f7cb4.jpg,73.0,0,1,0,0,1,-1
captura_2023-10-02_15-11-16_png.rf.54c31a4a918f10048fc349fd095a3772.jpg,91.0,0,1,0,0,1,-1
captura_2023-10-02_15-11-34_png.rf.841bc3ae75d916da3c3bd173ca9e8833.jpg,98.0,0,1,0,0,1,-1
captura_2023-10-02_16-06-29_png.rf.382568e154bfbdee1d08acab6500826f.jpg,51.0,3,1,0,3,1,2
captura_2023-10-10_18-14-25_png.rf.a49ce829cfe553dc2776d76faef08784.jpg,83.0,2,1,0,2,1,1
captura_2023-10-05_16-02-10_png.rf.869e0b5fa638185904ed93e4e381c166.jpg,54.0,2,1,0,2,1,1
captura_2023-10-05_15-32-53_png.rf.3c7d979107a6ada9a0ae874a73495782.jpg,74.0,2,1,1,1,0,1
captura_2023-10-05_17-44-44_png.rf.56b80233cd7186e0073151c3d406b5be.jpg,90.0,2,2,1,1,1,0
captura_2023-10-05_18-13-29_png.rf.614e46fea424462ad36979e844da90a5.jpg,70.0,2,1,0,2,1,1
captura_2023-10-02_15-10-26_png.rf.22ec4c746f0baea2bb79315c11e5cda4.jpg,99.0,1,1,0,1,1,0
captura_2023-10-10_18-02-50_png.rf.998dec830107e7621b664dcde03d0841.jpg,86.0,3,1,0,3,1,2
captura_2023-10-05_15-36-33_png.rf.9dc8ad208a1406b004eb196f27efa64c.jpg,84.0,1,1,0,1,1,0
captura_2023-10-11_16-44-09_png.rf.8f77cb80fce759e4cb682c546b83ab5e.jpg,76.0,1,1,0,1,1,0
captura_2023-10-02_15-19-29_png.rf.ebd282225128f59fe8c48fd45ff0ea77.jpg,81.0,2,1,1,1,0,1
captura_2023-10-02_15-29-31_png.rf.25237ed2f04ffa4adc9cef2e49972392.jpg,87.0,1,1,1,0,0,0
captura_2023-09-27_14-28-06_png.rf.f3f80e2fd77e980129da087a4b8ae2d0.jpg,71.0,0,1,0,0,1,-1
captura_2023-10-10_18-07-20_png.rf.f7f1845dda18e8ecf680f3b6d6cf569c.jpg,82.0,0,1,0,0,1,-1
captura_2023-10-09_12-59-06_png.rf.10013ea0d3703868a6e14364789859e6.jpg,90.0,2,1,0,2,1,1
captura_2023-09-28_16-08-29_png.rf.663a8dea7bb0d36a5e2abd381ac3c7b0.jpg,75.0,2,1,0,2,1,1
captura_2023-10-02_15-13-50_png.rf.4423809e4105a186cbedceb689ad6217.jpg,79.0,1,1,0,1,1,0
captura_2023-10-05_16-05-26_png.rf.9ad8c4b849f07780438cb6c2609fcab6.jpg,76.0,3,1,1,2,0,2
captura_2023-10-05_17-39-30_png.rf.d152857b3c4b52b036dffcea5d42f469.jpg,139.0,1,1,0,1,1,0
captura_2023-10-02_15-39-51_png.rf.1f23e7428713adb3e07e4393e886914d.jpg,33.0,0,1,0,0,1,-1
captura_2023-10-02_15-45-07_png.rf.3d5fce2a0a72d467baced0f54961c91a.jpg,53.0,1,1,0,1,1,0
captura_2023-10-02_15-12-35_png.rf.dee24f10bc3bcc75d851189191921ecb.jpg,99.0,0,1,0,0,1,-1
captura_2023-10-05_17-51-16_png.rf.be16c126df5cff649760d57052f1ae3a.jpg,88.0,1,2,0,1,2,-1
captura_2023-10-10_17-53-49_png.rf.879178c9dc75ce22525b4e28661f2c8b.jpg,74.0,2,1,0,2,1,1
captura_2023-10-02_15-16-56_png.rf.eecdb332407cec29df4fc5d6e37d176a.jpg,85.0,1,1,0,1,1,0
captura_2023-10-11_16-29-12_png.rf.ede6bdd94c04ad02e0dfb65e2dc191cf.jpg,85.0,0,1,0,0,1,-1
captura_2023-09-27_14-33-00_png.rf.ff51747227e3bab8d60db6c405ed9a4a.jpg,66.0,2,1,0,2,1,1
captura_2023-10-05_16-00-10_png.rf.69a4848f6ded20bbbbfed063d4fc06cb.jpg,58.0,0,1,0,0,1,-1
captura_2023-10-02_15-35-51_png.rf.9880652e828975bf3dd7c1803d72f5b3.jpg,57.0,2,1,1,1,0,1
captura_2023-10-02_16-03-22_png.rf.4bbfd1ed8159d4c01a0c956974cd64d9.jpg,42.0,1,1,0,1,1,0
captura_2023-10-05_17-48-24_png.rf.3f744201c0450d7ef0a88299f40083a5.jpg,86.0,3,1,0,3,1,2
captura_2023-10-05_16-04-56_png.rf.43f28b8d1c5a97cffc3a1723ac6420dd.jpg,70.0,1,1,1,0,0,0
captura_2023-10-02_15-19-23_png.rf.179e440e5cb4d48d75990cd9b76e3803.jpg,82.0,3,1,0,3,1,2
captura_2023-10-11_16-31-05_png.rf.44b871d760b47453f535e2038aaf83fa.jpg,78.0,0,1,0,0,1,-1
captura_2023-09-28_15-15-57_png.rf.c0fe77878e20f6a73826a6a5ab2ab019.jpg,81.0,0,1,0,0,1,-1
captura_2023-10-05_16-10-37_png.rf.9fc5cf8eb767924275a9adb25c3b29f2.jpg,67.0,1,1,0,1,1,0
captura_2023-10-02_15-28-39_png.rf.8cdc3e8ed4e52fcd6ae07b1fcf68085f.jpg,85.0,1,2,0,1,2,-1
captura_2023-10-02_15-39-28_png.rf.0359348d8551abedada7b96d4ff1ecdc.jpg,39.0,0,1,0,0,1,-1
captura_2023-09-28_16-06-59_png.rf.4bf7e6c43cc91416e42953dc59d07a1d.jpg,94.0,3,1,0,3,1,2
captura_2023-09-27_14-42-36_png.rf.5adcfefb81daaa439b97ac61b82c0ce5.jpg,66.0,1,1,0,1,1,0
captura_2023-10-10_18-11-54_png.rf.0fea0a0997d7cbf20483dadafeebf0e1.jpg,57.0,2,1,1,1,0,1
captura_2023-10-02_15-10-01_png.rf.e24ad022526dc8159dfcb984f1342288.jpg,78.0,2,1,0,2,1,1
captura_2023-10-02_15-19-02_png.rf.ec10326c1df796165aceb94ed3c5f316.jpg,87.0,5,1,0,5,1,4
captura_2023-10-02_16-02-25_png.rf.e9d67ef0e231587bed37085e4632fff4.jpg,47.0,0,1,0,0,1,-1
captura_2023-10-02_15-09-21_png.rf.baa009a1fcf12ef4ae2fbc284ba80984.jpg,94.0,1,1,0,1,1,0
captura_2023-10-05_15-56-47_png.rf.2dadb8a0da1e801c8a05a88df2f886ad.jpg,68.0,2,1,1,1,0,1
captura_2023-10-02_16-05-39_png.rf.e90a37200a164759e277b48c6004748b.jpg,55.0,0,1,0,0,1,-1
captura_2023-10-05_17-48-47_png.rf.561029edc1affc06cb682f5e9a19f36c.jpg,93.0,0,1,0,0,1,-1
captura_2023-10-10_18-07-45_png.rf.8fec4e99fe4cbd66a06680bdb8430a43.jpg,85.0,2,1,0,2,1,1
captura_2023-10-09_15-09-15_png.rf.ddb306d986e8ec3cf8465d92f59b110c.jpg,63.0,3,1,0,3,1,2
captura_2023-09-28_15-03-40_png.rf.099a5a4fbcb4e7ccdfdbe8ec3258caae.jpg,78.0,3,1,0,3,1,2
captura_2023-09-27_14-42-50_png.rf.7aa72e56d8f79b01da1697ecea8ddcbf.jpg,68.0,1,1,0,1,1,0
captura_2023-10-02_15-43-01_png.rf.a84754eed1acd6d101b329d1650f789c.jpg,48.0,0,1,0,0,1,-1
captura_2023-10-05_16-13-11_png.rf.f03d6dea5cca82e6b7c92b1f2979fd89.jpg,71.0,3,1,1,2,0,2
captura_2023-10-02_15-48-19_png.rf.5942660da807a4fd6039a9b032c33cd0.jpg,66.0,1,1,1,0,0,0
captura_2023-10-11_16-27-43_png.rf.b9d794f505dabf58d59f103ce4e49e60.jpg,75.0,3,1,0,3,1,2
captura_2023-10-02_15-34-47_png.rf.ff8904f763282853c33266c68184a956.jpg,59.0,6,1,0,6,1,5
captura_2023-10-05_15-37-36_png.rf.45de8236b145d3a6597e620693ab5cd8.jpg,72.0,1,1,0,1,1,0
captura_2023-09-27_14-42-39_png.rf.836e9f86676ea3081ddcb7b3d62cf033.jpg,69.0,1,2,0,1,2,-1
captura_2023-09-29_15-58-37_png.rf.5fe6db57324dad359823e52150408740.jpg,50.0,0,2,0,0,2,-2
captura_2023-10-10_17-54-02_png.rf.3bbfb36b98900ce3ed228ff06ce92298.jpg,84.0,2,1,0,2,1,1
captura_2023-10-02_15-19-44_png.rf.2ed8fa12ae7419bb88a493c78ab2d9c1.jpg,91.0,2,1,0,2,1,1
captura_2023-10-05_17-55-49_png.rf.0bb8aee6b496b4114252256adc32092b.jpg,98.0,1,1,0,1,1,0
captura_2023-10-02_15-39-03_png.rf.419b2ea0d05957c467af636ead090795.jpg,46.0,0,1,0,0,1,-1
captura_2023-10-02_15-43-39_png.rf.b1b2f7c8572e0cbef35f38723a8afb03.jpg,53.0,1,1,0,1,1,0
captura_2023-09-29_15-59-30_png.rf.39e15be0c726814c4fe52c405f8254cb.jpg,59.0,1,1,1,0,0,0
captura_2023-10-05_18-08-21_png.rf.878ade7374757a20fee664b218230d17.jpg,81.0,1,1,0,1,1,0
captura_2023-10-02_16-04-47_png.rf.a8998a8133fdc8f0ef314049a2b1436f.jpg,47.0,0,1,0,0,1,-1
captura_2023-10-02_15-49-09_png.rf.9e9e98a21ebbf9a29ba9efa92d61c293.jpg,78.0,3,1,0,3,1,2
captura_2023-10-05_17-54-39_png.rf.abf9bb5e518ae7502a29ecd9ac86b82e.jpg,88.0,0,1,0,0,1,-1
captura_2023-10-02_15-27-33_png.rf.188eb907d3374784e6946a7aa8e7ac29.jpg,83.0,0,1,0,0,1,-1
captura_2023-09-28_15-22-30_png.rf.ec2631912ab4c69d914ca844f44c77b5.jpg,66.0,4,1,0,4,1,3
captura_2023-10-02_15-21-24_png.rf.6d3b8e6b8094ffad21993793f4342adc.jpg,83.0,3,1,0,3,1,2
captura_2023-09-28_16-04-23_png.rf.7d0e8ca6cebdb5915b390a2583450e0a.jpg,81.0,1,1,1,0,0,0
captura_2023-10-09_12-53-40_png.rf.f6a8f5d761a09598078b0ce32425c216.jpg,90.0,0,1,0,0,1,-1
captura_2023-10-11_16-45-40_png.rf.b6b1ee2ac880e3cee0d53ee482aded51.jpg,87.0,2,1,1,1,0,1
captura_2023-10-05_18-18-06_png.rf.1118fb3c4c5e3cd896dbc7412d2f8d5c.jpg,98.0,2,1,1,1,0,1
captura_2023-10-02_15-37-56_png.rf.525e185ef3fc0585191f3a910ed512ef.jpg,44.0,0,1,0,0,1,-1
captura_2023-09-28_16-08-42_png.rf.fe1a66193f9e249913c604ba801811c8.jpg,84.0,1,1,1,0,0,0
captura_2023-10-05_15-57-22_png.rf.48abf013f8b05ace35e6ce819b1f2738.jpg,48.0,1,1,1,0,0,0
captura_2023-10-05_16-12-35_png.rf.afb789382f2500fad25455b06a035ffc.jpg,68.0,1,1,1,0,0,0
captura_2023-10-02_16-03-10_png.rf.beff0836b1942589d11574cd5b265f78.jpg,52.0,0,1,0,0,1,-1
captura_2023-10-05_15-31-58_png.rf.e98f35b6aba31f3e26137cb48ad186f1.jpg,77.0,1,1,0,1,1,0
captura_2023-10-02_15-13-11_png.rf.bfaece85375afe3749f9f76f416f9f52.jpg,94.0,0,1,0,0,1,-1
captura_2023-10-05_15-36-35_png.rf.8fa997e9ced36df1c0b60b1f57c97e5a.jpg,91.0,0,1,0,0,1,-1
captura_2023-10-02_15-45-04_png.rf.50ea5fc878272a306236dea5d1a4c490.jpg,49.0,3,1,0,3,1,2
captura_2023-10-10_18-05-26_png.rf.dac58c63ceac6d19ec7517d3f18419cf.jpg,81.0,1,1,0,1,1,0
captura_2023-10-02_15-37-32_png.rf.7e93e7476df193b6dfb7e0fa57da756d.jpg,51.0,0,1,0,0,1,-1
captura_2023-10-02_15-14-00_png.rf.d9d981bd97cadcc6e87779066339c82a.jpg,83.0,1,1,0,1,1,0
captura_2023-10-05_17-38-23_png.rf.1daeb897ca35ef1c7457f3a969da82df.jpg,92.0,4,1,0,4,1,3
captura_2023-10-02_15-23-05_png.rf.82e289791db64b2661bcab020fc61433.jpg,79.0,0,1,0,0,1,-1
captura_2023-09-29_15-58-24_png.rf.12ef84e2906be8ce1f859a1c57c98dd0.jpg,48.0,0,1,0,0,1,-1
captura_2023-09-27_14-26-30_png.rf.048232ebd735271edc275e6cebb5d56b.jpg,73.0,0,1,0,0,1,-1
captura_2023-10-05_17-44-48_png.rf.df415af7178836df950e0ef388ad6087.jpg,104.0,5,2,2,3,0,3
captura_2023-10-05_17-55-23_png.rf.25745d6e982c4bf41af49e49dc98e401.jpg,95.0,1,1,0,1,1,0
captura_2023-10-11_16-39-29_png.rf.3b603420c606b4bb73eeb94a92346d1b.jpg,88.0,1,1,1,0,0,0
captura_2023-10-02_15-47-34_png.rf.e19e2e11ec7660304842e5bbf7685799.jpg,62.0,1,1,0,1,1,0
captura_2023-10-05_18-11-18_png.rf.c215f4cbd8c4cc46b808ef2b9255ec32.jpg,77.0,2,1,0,2,1,1
captura_2023-10-02_15-20-35_png.rf.3f6e7de2412f370b9115674e0807d7ae.jpg,89.0,0,1,0,0,1,-1
captura_2023-10-02_15-21-29_png.rf.aa5c4640ff0f0379096d84e8bbe6f739.jpg,82.0,1,1,0,1,1,0
captura_2023-10-02_15-46-50_png.rf.544f6c4827b5e48b07201206919d57c8.jpg,63.0,2,1,1,1,0,1
