estagio,faixa_ajustada,s_min_testado,portas,quantil_area_min,area_minima,quantil_area_max,area_maxima,metodo,precisao,recall,f1,vp,fp,fn,limiar_medio,limiar_desvio,ms_por_imagem
0,vermelho,80.0,vermelho=80;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.061,0.108,0.078,31,476,255,74.7,23.2,81.7
0,vermelho,100.0,vermelho=100;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.067,0.108,0.083,31,431,255,83.8,27.9,75.5
0,vermelho,120.0,vermelho=120;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.068,0.094,0.079,27,371,259,96.7,29.9,70.2
0,vermelho,140.0,vermelho=140;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.062,0.084,0.071,24,363,262,100.6,29.0,73.5
0,vermelho,160.0,vermelho=160;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.055,0.073,0.063,21,358,265,102.8,28.7,72.7
0,vermelho,-1.0,vermelho=None;amarelo=110;azul=110,0.3,199,1.0,0,otsu_restrito,0.06,0.073,0.066,21,330,265,105.3,29.0,25.4
0,amarelo,80.0,vermelho=100;amarelo=80;azul=110,0.3,199,1.0,0,otsu_restrito,0.068,0.115,0.086,33,452,253,89.0,29.3,32.2
0,amarelo,100.0,vermelho=100;amarelo=100;azul=110,0.3,199,1.0,0,otsu_restrito,0.068,0.108,0.084,31,424,255,91.2,31.5,30.5
0,amarelo,120.0,vermelho=100;amarelo=120;azul=110,0.3,199,1.0,0,otsu_restrito,0.066,0.101,0.08,29,408,257,80.4,25.5,28.6
0,amarelo,140.0,vermelho=100;amarelo=140;azul=110,0.3,199,1.0,0,otsu_restrito,0.063,0.105,0.079,30,444,256,79.0,26.9,28.8
0,amarelo,160.0,vermelho=100;amarelo=160;azul=110,0.3,199,1.0,0,otsu_restrito,0.078,0.112,0.092,32,380,254,76.7,29.1,29.0
0,amarelo,-1.0,vermelho=100;amarelo=None;azul=110,0.3,199,1.0,0,otsu_restrito,0.072,0.119,0.09,34,439,252,61.0,17.8,23.8
0,azul,80.0,vermelho=100;amarelo=160;azul=80,0.3,199,1.0,0,otsu_restrito,0.078,0.122,0.095,35,414,251,77.1,29.7,29.2
0,azul,100.0,vermelho=100;amarelo=160;azul=100,0.3,199,1.0,0,otsu_restrito,0.083,0.119,0.098,34,377,252,76.7,29.2,31.9
0,azul,120.0,vermelho=100;amarelo=160;azul=120,0.3,199,1.0,0,otsu_restrito,0.081,0.115,0.095,33,376,253,76.5,28.7,56.1
0,azul,140.0,vermelho=100;amarelo=160;azul=140,0.3,199,1.0,0,otsu_restrito,0.085,0.115,0.098,33,353,253,76.8,29.0,42.7
0,azul,160.0,vermelho=100;amarelo=160;azul=160,0.3,199,1.0,0,otsu_restrito,0.092,0.115,0.102,33,326,253,76.7,29.1,31.6
0,azul,-1.0,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,otsu_restrito,0.094,0.115,0.104,33,317,253,76.7,29.2,26.3
1,,,vermelho=100;amarelo=160;azul=None,0.05,56,1.0,0,global,0.033,0.108,0.05,31,916,255,96.0,0.0,23.6
1,,,vermelho=100;amarelo=160;azul=None,0.05,56,1.0,0,otsu,0.048,0.157,0.074,45,889,241,47.8,10.6,24.1
1,,,vermelho=100;amarelo=160;azul=None,0.05,56,1.0,0,otsu_restrito,0.045,0.143,0.068,41,871,245,76.7,29.2,27.4
1,,,vermelho=100;amarelo=160;azul=None,0.05,56,1.0,0,adaptativa,0.028,0.161,0.047,46,1617,240,,,26.2
1,,,vermelho=100;amarelo=160;azul=None,0.1,81,1.0,0,global,0.043,0.105,0.061,30,673,256,96.0,0.0,20.9
1,,,vermelho=100;amarelo=160;azul=None,0.1,81,1.0,0,otsu,0.064,0.157,0.091,45,658,241,47.8,10.6,22.7
1,,,vermelho=100;amarelo=160;azul=None,0.1,81,1.0,0,otsu_restrito,0.059,0.14,0.083,40,639,246,76.7,29.2,22.9
1,,,vermelho=100;amarelo=160;azul=None,0.1,81,1.0,0,adaptativa,0.043,0.157,0.068,45,993,241,,,25.2
1,,,vermelho=100;amarelo=160;azul=None,0.2,137,1.0,0,global,0.059,0.101,0.075,29,460,257,96.0,0.0,21.5
1,,,vermelho=100;amarelo=160;azul=None,0.2,137,1.0,0,otsu,0.09,0.147,0.112,42,423,244,47.8,10.6,21.3
1,,,vermelho=100;amarelo=160;azul=None,0.2,137,1.0,0,otsu_restrito,0.082,0.126,0.099,36,403,250,76.7,29.2,24.0
1,,,vermelho=100;amarelo=160;azul=None,0.2,137,1.0,0,adaptativa,0.09,0.15,0.113,43,433,243,,,24.3
1,,,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,global,0.069,0.091,0.079,26,349,260,96.0,0.0,22.1
1,,,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,otsu,0.105,0.133,0.117,38,325,248,47.8,10.6,21.8
1,,,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,otsu_restrito,0.094,0.115,0.104,33,317,253,76.7,29.2,23.6
1,,,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,adaptativa,0.132,0.129,0.131,37,244,249,,,24.5
1,,,vermelho=100;amarelo=160;azul=None,0.4,283,1.0,0,global,0.085,0.091,0.088,26,279,260,96.0,0.0,22.3
1,,,vermelho=100;amarelo=160;azul=None,0.4,283,1.0,0,otsu,0.108,0.112,0.11,32,264,254,47.8,10.6,22.3
1,,,vermelho=100;amarelo=160;azul=None,0.4,283,1.0,0,otsu_restrito,0.088,0.091,0.089,26,270,260,76.7,29.2,23.6
1,,,vermelho=100;amarelo=160;azul=None,0.4,283,1.0,0,adaptativa,0.169,0.105,0.13,30,147,256,,,27.5
1,,,vermelho=100;amarelo=160;azul=None,0.5,394,1.0,0,global,0.075,0.07,0.073,20,245,266,96.0,0.0,23.0
1,,,vermelho=100;amarelo=160;azul=None,0.5,394,1.0,0,otsu,0.115,0.105,0.11,30,230,256,47.8,10.6,23.7
1,,,vermelho=100;amarelo=160;azul=None,0.5,394,1.0,0,otsu_restrito,0.084,0.077,0.08,22,240,264,76.7,29.2,25.1
1,,,vermelho=100;amarelo=160;azul=None,0.5,394,1.0,0,adaptativa,0.208,0.091,0.127,26,99,260,,,27.2
1,,,vermelho=100;amarelo=160;azul=None,0.6,545,1.0,0,global,0.079,0.066,0.072,19,223,267,96.0,0.0,21.5
1,,,vermelho=100;amarelo=160;azul=None,0.6,545,1.0,0,otsu,0.114,0.094,0.103,27,210,259,47.8,10.6,22.2
1,,,vermelho=100;amarelo=160;azul=None,0.6,545,1.0,0,otsu_restrito,0.086,0.07,0.077,20,213,266,76.7,29.2,23.9
1,,,vermelho=100;amarelo=160;azul=None,0.6,545,1.0,0,adaptativa,0.242,0.08,0.121,23,72,263,,,25.6
2,,,vermelho=100;amarelo=160;azul=None,0.3,199,0.9,3782,adaptativa,0.142,0.126,0.133,36,218,250,,,53.1
2,,,vermelho=100;amarelo=160;azul=None,0.3,199,0.95,4888,adaptativa,0.141,0.126,0.133,36,220,250,,,53.3
2,,,vermelho=100;amarelo=160;azul=None,0.3,199,0.99,8699,adaptativa,0.139,0.129,0.134,37,230,249,,,38.8
2,,,vermelho=100;amarelo=160;azul=None,0.3,199,1.0,0,adaptativa,0.132,0.129,0.131,37,244,249,,,56.9
