arquivo,caminho,split,largura,altura,n_objetos,classes
captura_2023-09-27_14-12-24_png.rf.024cb79af648eb94e0e4ea15f0379fd7.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-12-24_png.rf.024cb79af648eb94e0e4ea15f0379fd7.jpg,test,1013.0,631.0,1,42
captura_2023-09-27_14-16-12_png.rf.8c274505034a781582d85b34f80d5e51.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-16-12_png.rf.8c274505034a781582d85b34f80d5e51.jpg,test,,,1,49
captura_2023-09-27_14-18-43_png.rf.2327e7777881f8541cad019c3826cade.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-18-43_png.rf.2327e7777881f8541cad019c3826cade.jpg,test,,,1,64
captura_2023-09-27_14-21-19_png.rf.4aebd5d7195347394d32b107854d349d.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-21-19_png.rf.4aebd5d7195347394d32b107854d349d.jpg,test,,,1,59
captura_2023-09-27_14-22-23_png.rf.76c79736768d15365a2fdd666c1f0fbe.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-22-23_png.rf.76c79736768d15365a2fdd666c1f0fbe.jpg,test,,,3,39
captura_2023-09-27_14-25-47_png.rf.df01a33a0d35fbf2d6e46b21db247bdb.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-25-47_png.rf.df01a33a0d35fbf2d6e46b21db247bdb.jpg,test,,,1,42
captura_2023-09-27_14-34-29_png.rf.85fd688b06dacf8edb118168bf5918df.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-34-29_png.rf.85fd688b06dacf8edb118168bf5918df.jpg,test,,,1,39
captura_2023-09-27_14-35-16_png.rf.029d7d92e14637999c1b8e8184ef684e.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-35-16_png.rf.029d7d92e14637999c1b8e8184ef684e.jpg,test,1013.0,631.0,1,39
captura_2023-09-27_14-37-00_png.rf.92ff134fe9982e844ce2182dc602b04e.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-37-00_png.rf.92ff134fe9982e844ce2182dc602b04e.jpg,test,,,2,"42,43"
captura_2023-09-27_14-39-12_png.rf.5d5d14a48ac630af8bbb0cb0dfe9db77.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-39-12_png.rf.5d5d14a48ac630af8bbb0cb0dfe9db77.jpg,test,,,1,48
captura_2023-09-27_14-43-58_png.rf.57cb5f3d30f3b0a3c7459e9f592116a3.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-43-58_png.rf.57cb5f3d30f3b0a3c7459e9f592116a3.jpg,test,,,1,59
captura_2023-09-27_14-46-35_png.rf.ccacc7b2f22efda1739db791d1c3ccac.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-27_14-46-35_png.rf.ccacc7b2f22efda1739db791d1c3ccac.jpg,test,,,1,54
captura_2023-09-28_15-02-55_png.rf.9d223933d85e7c8b501a9d213f6daec1.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-02-55_png.rf.9d223933d85e7c8b501a9d213f6daec1.jpg,test,,,1,59
captura_2023-09-28_15-03-19_png.rf.05997296ef9941be6f31b1d24ee540d8.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-03-19_png.rf.05997296ef9941be6f31b1d24ee540d8.jpg,test,,,1,39
captura_2023-09-28_15-03-42_png.rf.06218aaf694c96baeaf43d1d68471f35.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-03-42_png.rf.06218aaf694c96baeaf43d1d68471f35.jpg,test,1253.0,636.0,2,"39,42"
captura_2023-09-28_15-04-06_png.rf.bf2e44d8afb5926095e2dcf4bc51e65f.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-04-06_png.rf.bf2e44d8afb5926095e2dcf4bc51e65f.jpg,test,,,1,39
captura_2023-09-28_15-06-12_png.rf.95051acf587f35df5e00769a21687d56.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-06-12_png.rf.95051acf587f35df5e00769a21687d56.jpg,test,,,1,59
captura_2023-09-28_15-07-16_png.rf.a3f3afcbaeb9b17e49f715bac761dbcf.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-07-16_png.rf.a3f3afcbaeb9b17e49f715bac761dbcf.jpg,test,,,2,"14,46"
captura_2023-09-28_15-08-42_png.rf.3da4fc295b66306416f5b1a64731cc35.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-08-42_png.rf.3da4fc295b66306416f5b1a64731cc35.jpg,test,,,2,39
captura_2023-09-28_15-15-07_png.rf.be66f48dfcad01f2ebc161f593ea46da.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-15-07_png.rf.be66f48dfcad01f2ebc161f593ea46da.jpg,test,,,1,45
captura_2023-09-28_15-17-33_png.rf.e5679b299df7085d0d11f356f8a2a91b.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-17-33_png.rf.e5679b299df7085d0d11f356f8a2a91b.jpg,test,,,1,59
captura_2023-09-28_15-22-35_png.rf.20a14659163916640859c6e1c545cf8a.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-22-35_png.rf.20a14659163916640859c6e1c545cf8a.jpg,test,1253.0,636.0,1,43
captura_2023-09-28_15-29-19_png.rf.d4b366f0429ec5c2efdcaa9d44f73c31.jpg,C:\Users\mviei\AppData\Local\Temp\aed_nativa\Placas-de-Transito-BR-1\test\images\captura_2023-09-28_15-29-19_png.rf.d4b366f0429ec5c2efdcaa9d44f73c31.jpg,test,,,1,14
